2018-05-15 14:46:27.391  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/company/updateCompany],methods=[POST]}" onto public java.lang.String com.thinvent.basicpf.sys.controller.CompanyController.updateCompany(com.thinvent.library.vo.CompanyVO,javax.servlet.http.HttpServletRequest) throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.395  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/company/listAllCompany],methods=[GET]}" onto public java.util.List com.thinvent.basicpf.sys.controller.CompanyController.listAllCompany() throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.399  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/company/listAllCompanyByEnable],methods=[GET]}" onto public java.util.List<com.thinvent.library.vo.CompanyVO> com.thinvent.basicpf.sys.controller.CompanyController.listAllCompanyByEnable(java.lang.String) throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.408  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/department/addDepartment],methods=[POST]}" onto public void com.thinvent.basicpf.sys.controller.DepartmentController.add(com.thinvent.library.vo.DepartmentVO,javax.servlet.http.HttpServletRequest) throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.409  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/department/getByDeptId],methods=[GET]}" onto public java.lang.Object com.thinvent.basicpf.sys.controller.DepartmentController.get(java.lang.String) throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.414  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/department/updateDepartment],methods=[POST]}" onto public void com.thinvent.basicpf.sys.controller.DepartmentController.update(com.thinvent.library.vo.DepartmentVO,javax.servlet.http.HttpServletRequest) throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.422  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/department/delDepartment],methods=[GET]}" onto public void com.thinvent.basicpf.sys.controller.DepartmentController.delete(java.lang.String) throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.424  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/department/getByDeptName],methods=[GET]}" onto public java.lang.Object com.thinvent.basicpf.sys.controller.DepartmentController.getByName(java.lang.String) throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.429  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/department/getDeptListById],methods=[GET]}" onto public java.lang.Object com.thinvent.basicpf.sys.controller.DepartmentController.getDeptListById(java.lang.String) throws com.thinvent.library.exception.ThinventBaseException
2018-05-15 14:46:27.435  INFO 18144 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/sys/department/getDeptTreeById],methods=[GET]}" onto public java.lang.Object com.thinvent.basicpf.sys.controller.DepartmentController.getDeptTreeById(java.lang.String) throws com.thinvent.library.exception.ThinventBaseException
